116	正木 昌孝	佐世保	1	A
47	竹村 芳郎	長野	1	B
91	坂井 優太	松江	1	C
22	恩田 徳雄	茨城	1	D
110	花井 勝哉	北九州	1	E
34	芳賀 晃一朗	木更津	1	F
58	椎名 武信	沼津	1	G
85	真野 雅宣	米子	1	H
61	大坪 龍五	豊田	2	A
36	北沢 桜臥	富山	2	B
24	樋口 末男	茨城	2	C
97	井村 太陽	広島	2	D
92	平井 理都輝	松江	2	E
67	露木 政一	鈴鹿	2	F
4	伊東 数也	函館	2	G
78	塩見 仁継	奈良	2	H
1	宮沢 喜代治	函館	3	A
65	三沢 雄二	豊田	3	B
5	遠山 雅人	苫小牧	3	C
15	土居 和弥	秋田	3	D
19	小山田 政信	福島	3	E
81	水島 淳	奈良	3	F
83	石黒 雅樹	米子	3	G
126	佐伯 明彦	都立（荒川）	3	H
3	三木 駿	函館	4	A
79	大森 洋晶	奈良	4	B
6	紺野 晃勝	苫小牧	4	C
98	平田 正平	広島	4	D
87	長谷川 晴彦	松江	4	E
28	松永 正洋	群馬	4	F
86	新垣 堅助	米子	4	G
51	出口 幸真	岐阜	4	H
26	日比野 裕之	群馬	5	A
101	植松 浩秋	宇部	5	B
63	松下 広司	豊田	5	C
44	田原 清次	石川	5	D
95	田沢 祐司	津山	5	E
90	河田 誠	松江	5	F
120	遠藤 岩夫	大分	5	G
123	本橋 博満	鹿児島	5	H
43	妹尾 公一	石川	6	A
10	田沢 一歩	仙台（広瀬）	6	B
62	宮島 健二	豊田	6	C
20	並木 政昭	福島	6	D
35	柳原 一寿	富山	6	E
30	岡村 一輝	群馬	6	F
113	高田 謙治	佐世保	6	G
55	徳田 美明	岐阜	6	H
29	江崎 和弘	群馬	7	A
72	横山 昭	鈴鹿	7	B
23	河本 亘	茨城	7	C
37	辻本 一路	富山	7	D
33	東 浩志	東京	7	E
48	中尾 俊雄	長野	7	F
16	村井 謙三	福島	7	G
11	宮原 樹希	秋田	7	H
69	高梨 浩司	鈴鹿	8	A
111	前田 常夫	北九州	8	B
124	有田 信義	鹿児島	8	C
103	小俣 明	宇部	8	D
66	明石 泰夫	豊田	8	E
56	曽我 健三郎	沼津	8	F
118	徳永 光生	大分	8	G
53	高村 恒敏	岐阜	8	H
18	山上 博之	福島	9	A
57	羽鳥 繁男	沼津	9	B
46	生田 長平	長野	9	C
100	相沢 英人	宇部	9	D
73	溝口 伸夫	舞鶴	9	E
88	藤田 慶治	松江	9	F
70	倉橋 良之	鈴鹿	9	G
96	菊田 孝利	津山	9	H
14	花岡 義信	秋田	10	A
59	西田 裕久	沼津	10	B
45	海野 富士雄	長野	10	C
21	今田 武	茨城	10	D
2	羽田 三夫	函館	10	E
125	益子 広吉	鹿児島	10	F
74	猪股 敦	明石	10	G
80	中尾 新治	奈良	10	H
117	武田 健一	大分	11	A
64	深井 陽日輝	豊田	11	B
99	平本 宏行	広島	11	C
39	小杉 俊博	富山	11	D
52	本間 昌彦	岐阜	11	E
106	入江 清吾	久留米	11	F
71	手島 郁真	鈴鹿	11	G
82	猪股 広昭	米子	11	H
119	竹本 一博	大分	12	A
32	笠井 達行	東京	12	B
112	田原 正春	佐世保	12	C
13	西岡 孝志	秋田	12	D
102	細田 徳治	宇部	12	E
49	水野 信孝	長野	12	F
128	小玉 康男	都立（荒川）	12	G
107	宮坂 敏之	北九州	12	H
115	小宮 浩幸	佐世保	13	A
94	明石 幹男	津山	13	B
121	岩城 幸吉	大分	13	C
54	丹羽 耕一	岐阜	13	D
8	杉山 芳郎	一関	13	E
109	白木 玲二	北九州	13	F
68	上岡 栄蔵	鈴鹿	13	G
127	杉田 啓介	都立（荒川）	13	H
12	安斉 悦哉	秋田	14	A
105	長田 重雄	久留米	14	B
40	毛利 節夫	富山	14	C
27	中井 広司	群馬	14	D
60	小口 恒雄	沼津	14	E
41	宇都宮 平一	石川	14	F
7	広田 治之	苫小牧	14	G
93	福岡 重一	津山	14	H
25	安藤 里桜人	茨城	15	A
31	高井 道男	東京	15	B
108	大原 長平	北九州	15	C
104	小椋 肇	宇部	15	D
77	船越 力雄	奈良	15	E
84	渡部 貞雄	米子	15	F
122	川畑 慎一	鹿児島	15	G
17	朝倉 務	福島	15	H
50	大澤 雄太	長野	16	A
89	新保 博満	松江	16	B
114	河上 忠司	佐世保	16	C
76	平田 吉彦	奈良	16	D
38	大塚 良平	富山	16	E
75	島田 広司	明石	16	F
42	笠井 正春	石川	16	G
9	塚越 亀次郎	一関	16	H
